image,brightness_orig,brightness_pre,brightness_diff,contrast_orig,contrast_pre,contrast_diff,entropy_orig,entropy_pre,entropy_diff,hist_var_orig,hist_var_pre,hist_var_diff,noise_orig,noise_pre,noise_diff
ISIC_0024306.jpg,146.75477037037038,147.41215925925925,0.6573888888888746,31.016333502047484,35.5461749091366,4.529841407089119,118008.96498940022,115772.89862434869,-2236.0663650515344,6.4955704e-05,2.6376207e-05,-3.85795e-05,94.49411111111111,118.3973962962963,23.903285185185183
ISIC_0024307.jpg,152.5549074074074,150.23881111111112,-2.31609629629628,18.567454002624455,26.808928632796857,8.241474630172402,117867.55044510309,117328.46606238467,-539.0843827184144,7.144691e-05,3.6367295e-05,-3.5079618e-05,94.27272222222223,117.94914814814815,23.676425925925926
ISIC_0024308.jpg,153.04238148148147,153.3968148148148,0.3544333333333327,49.687619593285646,51.02845289315962,1.340833299873971,105039.07815999737,103317.3497008866,-1721.7284591107746,3.395123e-05,2.1669293e-05,-1.22819365e-05,101.91574074074074,120.11616296296296,18.200422222222215
ISIC_0024309.jpg,134.09925555555554,136.17452962962963,2.0752740740740876,23.000077218096354,28.410025137216444,5.409947919120089,128338.5064823202,125435.32835984108,-2903.1781224791193,6.249944e-05,3.2304266e-05,-3.0195177e-05,91.34104814814815,116.93461851851852,25.593570370370372
ISIC_0024310.jpg,153.59191851851853,145.04222222222222,-8.549696296296304,31.51346900554953,44.62562022254609,13.112151216996558,113248.1216410251,113043.55928774909,-204.5623532760219,3.7674712e-05,1.0448825e-05,-2.7225888e-05,109.09903703703704,122.06788148148148,12.968844444444443
ISIC_0024311.jpg,165.51815925925925,161.47662962962963,-4.041529629629622,28.27467948308049,34.16736370741351,5.892684224333017,105252.97075693806,106252.0384793182,999.0677223801467,5.3726453e-05,3.6746653e-05,-1.69798e-05,93.42754814814815,118.51437777777778,25.086829629629634
ISIC_0024312.jpg,165.96111851851853,161.85053333333335,-4.110585185185187,16.762325020182903,29.549469389432986,12.787144369250083,107519.68421045705,107887.6334440127,367.9492335556424,6.7011926e-05,2.7435493e-05,-3.9576433e-05,92.81672962962963,118.24845185185185,25.43172222222222
ISIC_0024313.jpg,194.15764074074073,182.71006666666668,-11.447574074074055,31.55054048589999,36.651111924863734,5.100571438963744,75852.68035600736,86138.38768150198,10285.707325494615,6.0950933e-05,2.8306662e-05,-3.264427e-05,89.54964444444444,117.72611111111111,28.17646666666667
ISIC_0024314.jpg,173.35945185185184,173.33511851851853,-0.024333333333316887,18.93743974236829,28.910923336537326,9.973483594169036,100359.82873871864,97752.40581889168,-2607.4229198269604,8.797494e-05,4.3184933e-05,-4.479001e-05,84.65602592592593,116.20317037037037,31.54714444444444
ISIC_0024315.jpg,142.86575555555555,146.21311111111112,3.3473555555555663,27.995179755455165,33.514991426539076,5.519811671083911,121419.86560629286,117230.81774025186,-4189.047866041001,4.8437912e-05,2.623205e-05,-2.2205862e-05,101.70361111111112,120.71608148148148,19.012470370370366
ISIC_0024316.jpg,144.68377777777778,143.66382962962962,-1.0199481481481598,24.379165281085182,31.776820760268528,7.397655479183346,121976.31589262436,120104.11592967345,-1872.1999629509082,4.927253e-05,2.3206592e-05,-2.6065938e-05,100.73902962962963,120.90148888888889,20.162459259259265
ISIC_0024317.jpg,165.88623333333334,159.1818851851852,-6.704348148148142,48.968224028986015,49.325955709629184,0.3577316806431696,96370.0575702961,101133.49620266253,4763.438632366422,3.929881e-05,2.0959063e-05,-1.8339748e-05,93.8735,116.70247407407408,22.82897407407407
ISIC_0024318.jpg,163.4074925925926,147.36462592592594,-16.04286666666667,25.01867624192162,36.5293785340278,11.510702292106178,108011.18848573718,115733.16706456857,7721.978578831389,3.972196e-05,1.856826e-05,-2.1153699e-05,92.69562222222223,117.21063703703703,24.515014814814805
ISIC_0024319.jpg,162.48926296296295,159.2192777777778,-3.2699851851851633,42.92279722656799,41.03431105700251,-1.8884861695654749,101158.42935341796,104596.44913362086,3438.0197802028997,5.9715298e-05,2.9857763e-05,-2.9857534e-05,101.90531851851851,119.41628148148148,17.510962962962964
ISIC_0024320.jpg,116.40671851851852,130.10415925925926,13.697440740740745,29.62101247504369,45.71926629013167,16.098253815087983,133178.69035533295,120157.77579294247,-13020.914562390477,3.424159e-05,1.0692745e-05,-2.3548848e-05,106.95936666666667,121.67776296296296,14.71839629629629
ISIC_0024321.jpg,146.83723333333333,146.14353703703705,-0.6936962962962809,12.275574647980767,19.20427153700829,6.928696889027522,122961.65923597387,122166.80797521347,-794.8512607604061,0.00012370858,5.416282e-05,-6.954576e-05,91.02511481481481,117.27274814814815,26.24763333333334
ISIC_0024322.jpg,151.0279962962963,145.76056666666668,-5.267429629629618,18.113401972633646,25.432942938120704,7.319540965487057,119087.38004388001,120886.3602401658,1798.9801962857891,5.735717e-05,3.2388052e-05,-2.4969118e-05,104.15334444444444,120.04237407407408,15.889029629629633
ISIC_0024323.jpg,128.41011481481482,136.79994074074074,8.38982592592592,24.46333693482591,39.31262842994045,14.849291495114542,130535.06521922721,120355.08183532108,-10179.983383906132,3.553914e-05,1.3992936e-05,-2.1546202e-05,99.82851111111111,119.99485925925926,20.166348148148145
