image_id,label,entropy_before,entropy_after,contrast_before,contrast_after,ssim_similarity
ISIC_0027419,0,6.722529688620056,7.404447091021661,28.701779008425333,43.70515762263868,0.7470880750662006
ISIC_0025030,0,7.140099953846149,7.507259031176692,40.02637810862337,47.7728607680557,0.756572363329355
ISIC_0026769,0,6.823678942345865,7.3677682550847,30.48805761080256,41.02647501973083,0.7376971715342557
ISIC_0025661,0,7.279568630691532,7.603754001847157,41.86190739586362,49.12318574268301,0.7286578136376439
ISIC_0031633,0,7.319085859521918,7.662408940207253,45.20240819533288,56.25255755988812,0.7883600770513057
ISIC_0027850,0,7.818503414579096,7.884572511490342,69.61849102680972,66.407494425411,0.8045233922760052
ISIC_0029176,0,6.206900139085723,6.906449444370697,26.011140835295443,30.791240642612838,0.8104077391759693
ISIC_0029068,0,6.900262815190883,7.159270004002121,32.43946191316092,35.885018246718936,0.7797575308940051
ISIC_0025837,0,6.973989592865451,7.365762869772397,33.95960097459768,41.165320922259205,0.7013793738958692
ISIC_0025209,0,6.991075555769103,7.516842743448207,34.76600809328226,46.962633678410896,0.6971050123334
ISIC_0025276,0,6.903132018391069,7.248170959357761,37.60694913155966,44.40768989484858,0.8441891139720445
ISIC_0029396,0,6.324519314758346,6.793787322419554,21.5885785858613,29.878441370699246,0.7613630327450206
ISIC_0025984,0,6.921468664961841,7.1310149010127475,36.81490457166659,40.05075251009864,0.7746194929434589
ISIC_0025767,0,6.251482765972773,6.76224695295752,20.41611919507014,28.862312400160153,0.783453387871519
ISIC_0032417,0,6.20945315159198,6.860016063368,26.588602592931192,34.88303651250636,0.7826084750983139
ISIC_0031326,0,6.296475115539112,6.877496837421571,21.713985882496907,34.696599492223,0.6742652640682212
ISIC_0025915,0,6.830676911769881,7.107720406358707,28.99865496565636,34.155838866693756,0.7515482412020995
ISIC_0031029,0,6.7119751700639325,7.175909448111517,34.046715645102495,38.09220343986597,0.798133698395865
ISIC_0029836,0,7.032127193579685,7.409280890359964,39.10151504251498,48.475852229917976,0.8137779520530677
ISIC_0032129,0,7.297390865063321,7.526366701612963,46.51594734217237,53.91358096614564,0.821411283566144
ISIC_0032343,0,7.594776104261358,7.817701198897257,69.20700344175106,66.4735646522328,0.7861423295780751
ISIC_0025033,0,6.9438833772849025,7.207252933152397,39.95815835793699,43.091985587142176,0.7999460851815432
ISIC_0027310,0,7.188216003770197,7.357754017184035,44.122547983637034,47.01980518798966,0.7816887915962957
ISIC_0032128,0,6.7104240426060215,7.0324750197586035,29.23898490111053,35.54070831016741,0.8137492252582417
ISIC_0025937,0,6.643063546121838,6.9591948866607884,27.202341475699832,34.07679931033285,0.7716614289190494
ISIC_0027828,0,6.84765069782404,7.150502550021088,42.76713899745794,45.16613153476614,0.8518208812679346
ISIC_0029291,0,6.850733046105349,7.045846292468774,35.2946835279232,38.38350227146568,0.7818521067593689
ISIC_0030698,0,6.115123110881115,6.481704430346673,18.403221272806775,25.16119642874604,0.766836194777715
ISIC_0025567,0,6.7795370260906775,7.0651125742563465,32.17775881214911,39.83765316772105,0.7669690956779559
ISIC_0031753,0,6.750724541806698,7.176934671117781,30.14351684295061,37.61386956749156,0.7896853272306664
ISIC_0026835,0,6.6945035916267885,7.003628645443514,29.54160334759696,37.189351219116915,0.7794484752931917
ISIC_0031159,0,6.733270853937633,7.115338046949741,28.659068347155102,35.269008253425156,0.7545695246829088
ISIC_0031017,0,6.582501890601266,6.960672605270829,24.732952600559212,31.109237177993496,0.7474447209613758
ISIC_0024981,0,6.881251059442921,7.415670751212099,38.077269164287515,43.62809037988787,0.7167722054366785
ISIC_0027815,0,7.905205257497865,7.963259052668002,77.19571490754467,70.7308964353546,0.7714704396045453
ISIC_0024324,0,5.652526798258835,6.298807222648232,18.5596854838154,25.786128024406498,0.7624440428745269
ISIC_0029559,0,6.263700506839268,6.572047501508063,20.053207690464,26.552700145945806,0.7469043291426666
ISIC_0030661,0,6.775731982026425,7.227237392306773,29.97066350535321,38.08557313920485,0.7372789299472478
ISIC_0027053,0,6.336350750378708,6.865164035489191,30.49126225491809,36.187912614295335,0.8060467604534721
ISIC_0028560,0,6.7124007862521475,7.100183634668572,28.440323742659512,34.899490451057936,0.7418545240313495
ISIC_0031650,0,6.064687828416953,6.837911798501254,22.23341910694598,32.28490524887241,0.74751726854688
ISIC_0029161,0,7.32984881840118,7.590182643456531,43.643973942549465,48.86440288440207,0.7991325871360926
ISIC_0026273,0,7.315751138508761,7.555767918381003,47.29449788869766,50.61522656169743,0.7852127280575245
ISIC_0025076,0,6.5791914415169455,7.102562876784462,26.37727790514451,34.98566890803727,0.7417078004628882
ISIC_0029687,0,6.362213873527546,6.772470546317603,21.385289377127545,30.330448446453108,0.7418804855453922
ISIC_0025642,0,6.21976840867761,6.741381438126409,25.36119156976989,34.724213400225125,0.7443970726520354
ISIC_0025819,0,6.5833802697817525,7.0024151818038955,28.687229136569474,34.11169843785777,0.7446809662401631
ISIC_0032013,0,6.554839880816605,7.122145457697199,25.195095520387024,35.72836550801441,0.7141130642341993
ISIC_0031691,0,7.279041699313337,7.5677022220858206,51.10747881328321,51.43869879854929,0.7629970311844908
ISIC_0025419,0,6.400047004971919,6.891115439479812,24.070842309040568,33.53812253992591,0.7436409356252497
ISIC_0030105,0,6.6155151254268745,7.084396410322815,28.953714443323175,35.82413290352444,0.8009427414563524
ISIC_0025016,0,5.975467983595901,6.486947347572261,15.806742326188637,23.74318614757495,0.763640222732818
ISIC_0029147,0,5.753986350820361,6.399978917632451,13.84299220180701,21.423379556595872,0.7988390915297171
ISIC_0029301,0,6.760770459728096,7.062288750927337,28.48318730255977,33.688455959333474,0.7278669162641114
ISIC_0026637,0,6.145050287736153,6.77551873458076,24.475948056895103,29.69842058062759,0.7492102436816208
ISIC_0030377,0,6.83422775898294,7.466601279074208,32.354050249862766,44.0348679221484,0.7015434502294939
ISIC_0027960,0,6.299025720970978,7.068297415148266,22.192057344887758,37.0599631936362,0.6983608369878829
ISIC_0026955,0,6.754593123464199,7.1744129074242595,27.887059683555744,35.3615243062756,0.7236046218783683
ISIC_0028052,0,7.0104595486952785,7.218761177557111,33.8613625932129,37.85369269288227,0.7560221313471548
ISIC_0025286,0,6.614173138335159,7.10416588235675,29.735468620653403,38.83356399938508,0.799439855431325
